@manan Hahaha don't worry Microsoft will giveaway WP7 devices to all attendees. :D	
RT @gsmarena_com: Windows Phone Marketplace expands, details about WP Tango emerge: Microsoft has been working hard in recent time... ht ...	
@kirstenwright I switched to WP7 (Samsung Focus). I have to admit, Microsoft did a great job.	
Just like the #USA caused the Real estate bubble, @Microsoft (an US company) now causes the #WP7 bubble. It kills thousands of jobs @Nokia!	
I don't think Microsoft actually check apps for WP7 like Apple does bc I'm seeing alot of messed up apps on my WP7 marketplace.	
Amazing to see where #WP7 is going. Microsoft is doing a amazing job improving the platform. And that's why i love that company! :)	
@Windows @Microsoft  #win7tech #windowsphone  Q1 Skydrive / just catching up! :)	
RT @sansoftonline: Does Microsoft Really Need A Windows Superphone?: A leaked Windows Phone roadmap made the rounds earlier today, ... h ...	
I might need to buy a WP7 phone. Microsoft genuinely supports homebrew/jailbreaking, which is full of wincake.	
#microsoft releasing tools that allow #android devs to easily switch to #wp7 development.. :-)  interesting	
RT @NowTwitting: Microsoft / AT&T Windows Phone 7 launch event to be live-streamed - National Technology: Although some analysts ha... h ...	
@Vodacom  False! It comes with Microsoft Windows Phone 7.5 Mango! #VodacomQuiz	
Pretty excited to get approved by Microsoft today to start submitting apps to the #wp7 (windows phone) marketplace...	
If you ignore the missing and broken features, Windows Phone 7 ain't half bad #WP7 #Microsoft	
#microsoft Coming Soon to Windows Phone 7, 'Falling Birds', GET READY!!! 4702760	
RT @mashabletech: Leaders at @Microsoft discuss the roots & principles behind the Metro interface in Windows Phone, Windows 8 - http://t ...	
@JeffWeber Microsoft now makes way more on Android than they have on WP7	
RT @saifulmuhajir: Dear Microsoft, put your Windows Phone on your newest #open technology program. You'll be.. awesome. #opensource	1
@zc456 THe phone just came out.  From what I was told when I talked to a Microsoft Rep about the WP7 : "Oh, the phone is unhackable."	
RT @wleong: @johnsheehan will be presenting RestSharp at the #WP7 Peer Learning Group tonight at #Microsoft Silicon Valley.	
Why would Microsofts photosynth app land on the iPhone before the Windows phone?	
@KazeNoStephen @thetecheye @steviemacuk meanwhile Microsoft has earned more money from Android devices sold under license than from Winphone	
Two turkeys don't make an eagle, but those are two very special turkeys :) #nokia #microsoft #wp7	
Microsoft: Free Windows Phones, Training for webOS Developers: In the wake of HP's blockbuster decision to kill off its Palm webOS pl...	
♺ @bigbrovar: After seeing the preview of the n9 there is just no way elop can claim not to be a Trojan for Microsoft. It's better than wp7	
Apple was like design is important...iPhone, then Microsoft was like hmmm shit wp7, then Google was like I guess it's time for a redesign	
Say word, the Microsoft Windows phone is leaping over Google Android and soon Apple iphone & Blackberry....Bill gates has done it again!	
Microsoft has the hardware to crack TV. It's called an Xbox. But like the Windows Phone, they suck at building an ecosystem for developers.	
RT @Harsh4d: @MicrosoftIndia Thanks for the information. Btw, will there be any launch event for WP7 in India?	
RT @dinabass: Windows Phone: 2 years on the market, now on its 3rd marketing VP as Microsoft hires McCann's Thom Gruhler	
RT @EmileCarter1: @jrobertfox @fxshaw @parislemon   Anyone thinking Microsoft can't innovate hasn't seen Windows Phone 7.5 or Windows 8	
RT @tabletinsider: Will Windows Mango Update Make Windows Phone 7 Successful?: Microsoft has announced today the next software upda... h ...	
At the Windows Phone Coding Days at Microsoft's office in cologne - pretty long introduction up til now :( #wp7cd	
RT @oviabhi: RT @weemundo RT @clubdirthill On this day two years ago, Microsoft announced Windows Phone 7 Series at MWC2010 in Barcelona.	
RT @jennylwilliams: Yes, I do love Apple. Microsoft finally done something to be proud of says Stephen Fry of Windows Phone 7 #wp7	
@nikhilpai @wpcentral well done Microsoft launched the windows phone 7 support in India on a day when no one could careless. Good start	
RT @DTNIndia: DTN India: Microsoft launches update of its Windows phone software, hopes to close gap on Google and Apple: The ... http:/ ...	
Just got confirmation from Microsoft that we'll be getting another Windows Phone 7 review model. This time, the Optimus 7.	
@flibblesan if WP7 was popular, then Microsoft would be fucked.	
Would I swap my iPhone for a Windows Phone Microsoft? In a word, no.	
It's sad that @NokiaUS & @Microsoft didn't put St. Louis in their Code Warrior project. We already have an established #WP7 base here!	
RT @phonescoop: Chrome to Windows Phone 7 Now Available: An extension for Google's Chrome browser allows users of Microsoft's Wi... http ...	
@freitasm @KevDaly I would like to know what budget does @MicrosoftNZ have for marketing #wp7 ? Is it expressed in USD or peanuts?	
RT @HumaneSocietyNY: Some pics from yesterday via @engadgetmobile at Microsoft 'biggest Windows Phone ever' in NYC's Herald Square http: ...	
windowsphone ILoveWindowsPhone because I have Microsoft Office at my finger tips.snab	
@shrop WP7 is nice but its v.1 couldn't compete with latest version of Android. Hopefully Microsoft will continue to iterate.	1
RT @tech_pundit: I fully understand that the home screen on a WP7 is more interactive than all other platforms,that was what Microsoft u ...	
@ZuneSupport i can buy apps from within wp7 marketplace but not Microsoft points from zune bc it says my cc is not valid (it is def. Valid)	
I need a simple resources (Books, Videos ...etc)  for Windows Phone Application#N##Microsoft #WindowsPhone #Technology #Help	1
Updating the new Windows Phone. Microsoft still can't seem to get a handle on how many steps it'll take. It varies from 6 to 11 every 2 min.	
"@wmpoweruser: Microsoft wants Windows Phone to be "the most secure phone the market has ever seen." Before the most used it's better :)	
I just wish Microsoft would make WP7 the best damn mobile OS ever. Stuff it right up Google's nose.	
RT @resn_has_no_i: Can Microsoft do anything without complicating it... Why "Windows Phone 7"?! How about starting at "Windows Phone"!	1
#nokia and #microsoft could really make some interesting things happen. But there is still a lot to catch up. #windowsphone	
What I want: A plugin for Microsoft Word that gives me the same autocorrect as on Windows Phone 7. I have been spoilt by how good it is #wp7	1
@mattrobs I can see Microsoft sweetening up their WP7 offer to HTC & Samsung and drawing them across. Google checkmated themselves.	
Windows Phone Live is now "My Windows Phone", with Microsoft ...	
Microsoft has announced windows phone 'mango'. A free update to phone7 coming in the autumn. Includes ie9. #fb #li	
@redtidal @windowsphone @microsoft can't really expect 3rd party devs to support #wp7 when your own divisions don't, can you?	
RT @wp7_connect: Microsoft & Nokia to Pick Up RIM? Blackberry to Run Windows Phone?: Rumors are swirling around again that Micros... htt ...	
Microsoft just bought Skype for $8.5 B...I wonder if that's a good thing. It might play nicely into their Xbox/Kinect/WP7 strategies...	1
Top 5 mobile by Techbot. com  1st: Windows Phone by Microsoft. 2nd: Android by Google. 3rd: i phone by Apple. 4th: Blackberry by MicroSy ...	
@thurrott Is it just me or does Microsoft really suck at search in the Windows Phone Marketplace? "NBA" comes up with random crap.	
Microsoft have covered nearly everything in #WinPhone7. Advertising SDK, Marketplace policies, trials, Free VS2010 and public documentation.	
